time	sap_flux	sap_flux_err	pdcsap_flux	pdcsap_flux_err
1790.857590913626	15310878.0	415.94882	16326353.0	421.19083
1790.858979840579	15295345.0	415.74435	16315142.0	420.9838
1790.8603687679986	15325130.0	416.15475	16356000.0	421.39932
1790.8617576954173	15275475.0	415.48065	16294319.0	420.71677
1790.863146622835	15266316.0	415.34482	16290097.0	420.5792
1790.8645355502533	15265720.0	415.33954	16305856.0	420.5739
1790.8659244772064	15318668.0	416.0486	16379084.0	421.2919
1790.867313404625	15255438.0	415.19742	16292058.0	420.42996
1790.8687023320438	15260983.0	415.26978	16318018.0	420.5032
1790.8700912594625	15262850.0	415.29254	16322382.0	420.52628
1790.871480186415	15252307.0	415.1647	16308979.0	420.39685
1790.8728691138338	15330428.0	416.2148	16424848.0	421.46017
1790.8742580407868	15267312.0	415.36282	16341135.0	420.59744
1790.8756469682046	15280567.0	415.54346	16376541.0	420.78036
1790.8770358956235	15281705.0	415.56326	16373727.0	420.8004
1790.8784248225768	15316959.0	416.0322	16428031.0	421.27524
1790.8798137499955	15295814.0	415.74176	16404482.0	420.98117
1790.8812026769485	15275034.0	415.48026	16388160.0	420.71637
1790.8825916043663	15302112.0	415.82822	16422939.0	421.06866
1790.883980531319	15266399.0	415.3473	16383729.0	420.58173
1790.8853694587367	15291595.0	415.7157	16411376.0	420.95477
1790.8867583856907	15307916.0	415.89923	16446958.0	421.1406
1790.8881473126446	15355204.0	416.5425	16545104.0	421.79196
1790.8895362400624	15295015.0	415.73465	16435393.0	420.97397
1790.890925167015	15276649.0	415.49686	16421873.0	420.7332
1790.8923140944328	15285294.0	415.60556	16439415.0	420.84323
1790.8937030213858	15293943.0	415.71594	16462124.0	420.95505
1790.8950919483398	15275304.0	415.4617	16443833.0	420.69757
1790.8964808752928	15283789.0	415.58984	16456027.0	420.82733
1790.897869802711	15281017.0	415.5406	16450696.0	420.77744
1790.8992587296632	15285817.0	415.62808	16465915.0	420.86606
1790.9006476566162	15321860.0	416.0981	16518554.0	421.342
1790.9020365835693	15307304.0	415.89758	16493022.0	421.13895
1790.9034255105225	15261790.0	415.2887	16451856.0	420.5224
1790.9048144379415	15370683.0	416.7522	16617345.0	422.00433
1790.9062033648936	15297958.0	415.77112	16506607.0	421.0109
1790.9075922918466	15332484.0	416.2399	16553705.0	421.4856
1790.9089812187997	15284949.0	415.59195	16490139.0	420.82947
1790.9103701457523	15281737.0	415.55173	16494704.0	420.78873
1790.9117590727044	15310063.0	415.9489	16548680.0	421.19092
1790.9131479996577	15239495.0	415.00494	16450140.0	420.23508
1790.9145369266114	15243382.0	415.0329	16474187.0	420.2634
1790.9159258535644	15227086.0	414.8224	16460620.0	420.0502
1790.917314780517	15207240.0	414.54715	16429851.0	419.7715
1790.9187037074691	15223448.0	414.77136	16463405.0	419.99854
1790.9200926344217	15244937.0	415.06604	16495386.0	420.29694
1790.9214815613755	15246418.0	415.08063	16494994.0	420.31168
1790.9228704883292	15190933.0	414.3351	16444392.0	419.55682
1790.924259414816	15171987.0	414.07376	16412905.0	419.2921
1790.9256483417682	15147130.0	413.74988	16390571.0	418.96417
1790.9270372687208	15109740.0	413.22894	16351904.0	418.43665
1790.9284261956739	15109817.0	413.22937	16362013.0	418.43713
1790.9298151226274	15070392.0	412.69165	16309020.0	417.89264
1790.931204049115	15120335.0	413.37	16380698.0	418.5795
1790.9325929760673	15116264.0	413.31256	16385833.0	418.52136
1790.93398190302	15018840.0	411.99332	16257911.0	417.1855
1790.935370829973	15003134.0	411.77707	16260005.0	416.9665
1790.9367597564603	15025433.0	412.08185	16286135.0	417.27512
1790.9381486834134	14985098.0	411.53467	16249824.0	416.72104
1790.9395376099008	14974558.0	411.38965	16241327.0	416.5742
1790.940926536853	14949972.0	411.0654	16223446.0	416.24588
1790.9423154638064	14914999.0	410.57504	16183476.0	415.74933
1790.9437043902938	14898420.0	410.34683	16169073.0	415.51825
1790.945093317246	14934139.0	410.84567	16229749.0	416.0234
1790.9464822437328	14883441.0	410.1836	16162471.0	415.35297
1790.9478711706859	14852928.0	409.73813	16148253.0	414.90186
1790.949260097174	14812749.0	409.1879	16098055.0	414.3447
1790.9506490241272	14813670.0	409.19946	16109265.0	414.3564
1790.9520379506137	14817774.0	409.2712	16128975.0	414.42908
1790.9534268775662	14786995.0	408.83603	16101906.0	413.9884
1790.9548158040527	14741764.0	408.2187	16071360.0	413.36328
1790.956204730541	14744902.0	408.25055	16062044.0	413.39554
1790.9575936574945	14710450.0	407.77942	16038154.0	412.91846
1790.9603715104683	14636797.0	406.80154	15974702.0	411.92828
1790.9617604374214	14623398.0	406.62744	15951006.0	411.75195
1790.9631493639088	14587797.0	406.0982	15918347.0	411.2161
1790.9645382903961	14560525.0	405.72473	15900927.0	410.83786
1790.9659272168835	14540800.0	405.4586	15862757.0	410.56842
1790.9673161438357	14498281.0	404.87976	15829881.0	409.98227
1790.9687050703233	14459328.0	404.3295	15801876.0	409.4251
1790.9700939968109	14438265.0	404.04144	15773258.0	409.13336
1790.9714829232973	14413600.0	403.6877	15728828.0	408.7752
1790.9728718497843	14366101.0	403.0299	15688453.0	408.1091
1790.9742607762716	14338540.0	402.6518	15653745.0	407.72623
1790.9756497027595	14308908.0	402.24466	15646533.0	407.31393
1790.977038629247	14271949.0	401.7245	15607925.0	406.78723
1790.9784275561994	14234686.0	401.2291	15548362.0	406.28558
1790.9812054091728	14188137.0	400.5576	15530148.0	405.60562
1790.9825943356611	14110490.0	399.47842	15448182.0	404.51285
1790.983983262149	14115430.0	399.5451	15454222.0	404.58038
1790.9853721881702	14078148.0	399.0353	15413778.0	404.06415
1790.986761114657	14028665.0	398.3276	15354382.0	403.34753
1790.9881500411436	13994626.0	397.86023	15334234.0	402.8743
1790.989538967631	13910558.0	396.66284	15269490.0	401.6618
1790.9909278941193	13922936.0	396.86453	15263516.0	401.86603
1790.9923168206067	13862591.0	395.998	15201864.0	400.98856
1790.9937057470931	13809503.0	395.23395	15155018.0	400.2149
1790.99509467358	13767716.0	394.65247	15116409.0	399.62607
1790.9964835996018	13766695.0	394.6282	15116552.0	399.60153
1790.9978725260892	13699033.0	393.6725	15046711.0	398.63376
1790.999261452576	13701352.0	393.70386	15033934.0	398.66553
1791.0006503790635	13655205.0	393.05798	14991607.0	398.01154
1791.0020393050852	13589508.0	392.1258	14917929.0	397.0676
1791.0034282315726	13508839.0	390.96597	14854676.0	395.89313
1791.00481715806	13473627.0	390.45493	14812571.0	395.37564
1791.0062060840812	13449651.0	390.12003	14775114.0	395.03656
1791.0075950105677	13367514.0	388.94934	14712959.0	393.8511
1791.008983937055	13355409.0	388.7817	14689363.0	393.6813
1791.0103728630777	13215204.0	386.7393	14559491.0	391.6132
1791.011761789565	13273790.0	387.598	14614919.0	392.4827
1791.0131507155859	13171285.0	386.1185	14514902.0	390.9846
1791.0145396420728	13250345.0	387.27585	14575409.0	392.15652
1791.015928568094	13083754.0	384.8338	14426754.0	389.68372
1791.017317494582	13008870.0	383.74655	14349413.0	388.58273
1791.0187064206045	13066576.0	384.59634	14390439.0	389.4432
1791.020095347091	12929451.0	382.58853	14258496.0	387.41013
1791.0214842731123	12808094.0	380.79324	14144722.0	385.59222
1791.0228731995987	12848094.0	381.39236	14169278.0	386.1989
1791.0242621256207	12733956.0	379.71634	14057698.0	384.50177
1791.025651051643	12674589.0	378.82935	14013314.0	383.60358
1791.0270399781305	12646380.0	378.43808	13978461.0	383.20737
1791.0284289041517	12680415.0	378.9545	13999300.0	383.7303
1791.0298178301725	12580698.0	377.46536	13904909.0	382.22238
1791.03120675666	12531261.0	376.73184	13846919.0	381.47964
1791.0325956826816	12455274.0	375.59515	13783830.0	380.32858
1791.033984608703	12355147.0	374.0957	13672544.0	378.81024
1791.0353735347246	12292630.0	373.16577	13601930.0	377.86862
1791.036762461212	12183157.0	371.5102	13502512.0	376.19214
1791.0381513872337	12210782.0	371.95145	13495710.0	376.63898
1791.0395403132554	12168615.0	371.30292	13464120.0	375.98227
1791.0409292392767	12032218.0	369.23932	13329525.0	373.89264
1791.0423181652977	11998617.0	368.72437	13301145.0	373.37122
1791.0437070913197	11965104.0	368.21973	13266035.0	372.86023
1791.0450960178075	11816432.0	365.9528	13090889.0	370.5647
1791.0478738698505	11734797.0	364.70505	13010738.0	369.30124
1791.0492627958713	11669390.0	363.69412	12947714.0	368.2776
1791.0506517218926	11592424.0	362.5123	12873988.0	367.08087
1791.052040647915	11523060.0	361.45578	12809193.0	366.01108
1791.0534295739374	11485088.0	360.8516	12767374.0	365.39923
1791.0548184999586	11436001.0	360.0863	12719226.0	364.6243
1791.0562074259794	11330967.0	358.45547	12589486.0	362.97296
1791.0575963520007	11277207.0	357.62067	12548929.0	362.12762
1791.3742712581409	15212488.0	414.63812	15716160.0	419.8636
1791.3756601822995	15194859.0	414.3791	15674023.0	419.60132
1791.3784380306176	15193841.0	414.36142	15669145.0	419.58344
1791.3798269543101	15122358.0	413.3929	15561316.0	418.60272
1791.3812158784688	15132290.0	413.5298	15564578.0	418.74133
1791.3826048026278	15083201.0	412.8808	15505440.0	418.08417
1791.3839937267876	15101390.0	413.10297	15521984.0	418.3091
1791.385382650947	15079137.0	412.7997	15458781.0	418.00204
1791.386771575105	15082657.0	412.8547	15451810.0	418.05774
